id,ad,education,ofjobs,yearsexp,honors,volunteer,military,empholes,occupspecific,occupbroad,workinschool,email,computerskills,specialskills,firstname,sex,race,h,l,call,city,kind,adid,fracblack,fracwhite,lmedhhinc,fracdropout,fraccolp,linc,col,expminreq,schoolreq,eoe,parent_sales,parent_emp,branch_sales,branch_emp,fed,fracblack_empzip,fracwhite_empzip,lmedhhinc_empzip,fracdropout_empzip,fraccolp_empzip,linc_empzip,manager,supervisor,secretary,offsupport,salesrep,retailsales,req,expreq,comreq,educreq,compreq,orgreq,manuf,transcom,bankreal,trade,busservice,othservice,missind,ownership
b,1,4,2,6,0,0,0,1,17,1,0,0,1,0,Allison,f,w,0,1,0,c,a,384,.98935956,.0055002202,9.5274839,.27415097,.037661508,8.7063246,1,5,,1,,,,,,,,,,,,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,
b,1,3,3,6,0,1,1,0,316,6,1,1,1,0,Kristen,f,w,1,0,0,c,a,384,.080735669,.88837385,10.408828,.23368677,.087285355,9.5328588,0,5,,1,,,,,,,,,,,,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,
b,1,4,1,6,0,0,0,0,19,1,1,0,1,0,Lakisha,f,b,0,1,0,c,a,384,.10430054,.83737022,10.466754,.10133465,.59169549,10.540329,1,5,,1,,,,,,,,,,,,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,
b,1,3,4,6,0,1,0,1,313,5,0,1,1,1,Latonya,f,b,1,0,0,c,a,384,.3361651,.63736963,10.431908,.10884786,.40657592,10.412141,0,5,,1,,,,,,,,,,,,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,
b,1,3,3,22,0,0,0,0,313,5,1,1,1,0,Carrie,f,w,1,0,0,c,a,385,.39759466,.1801956,9.8762188,.31287277,.030846862,8.7282639,0,some,,1,9.3999996,143,9.3999996,143,0,.2047635,.72704595,10.619399,.070493139,.36990309,10.007352,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,Nonprofit
b,1,4,2,6,1,0,0,0,266,4,0,0,0,1,Jay,m,w,0,1,0,c,s,386,.3361651,.63736963,10.431908,.10884786,.40657592,10.412141,1,,,1,40,135,40,135,0,.008141458,.97341305,11.137956,.047958273,.41330621,10.393723,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Private
b,1,4,2,5,0,1,0,0,13,1,1,1,1,1,Jill,f,w,1,0,0,c,s,386,.0027956835,.95214021,10.453601,.23644528,.12498008,9.6210585,1,,,1,40,135,40,135,0,.008141458,.97341305,11.137956,.047958273,.41330621,10.393723,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Private
b,1,3,4,21,0,1,0,1,313,5,0,1,1,1,Kenya,f,b,1,0,0,c,a,385,.11662389,.72833925,10.287047,.13984276,.36563608,9.9337254,0,some,,1,9.3999996,143,9.3999996,143,0,.2047635,.72704595,10.619399,.070493139,.36990309,10.007352,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,Nonprofit
b,1,4,3,3,0,0,0,0,316,6,0,0,1,1,Latonya,f,b,0,1,0,c,s,386,.080735669,.88837385,10.408828,.23368677,.087285355,9.5328588,1,,,1,40,135,40,135,0,.008141458,.97341305,11.137956,.047958273,.41330621,10.393723,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Private
b,1,4,2,6,0,1,0,0,263,4,1,1,0,1,Tyrone,m,b,1,0,0,c,s,386,.99204272,.0048142881,8.8417377,.29509342,.053181671,8.5073452,1,,,1,40,135,40,135,0,.008141458,.97341305,11.137956,.047958273,.41330621,10.393723,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Private
b,1,4,4,8,0,1,0,1,379,6,0,1,1,1,Aisha,f,b,1,0,0,c,a,387,.7046454,.25216407,10.00487,.15066847,.30199412,9.6682081,1,some,,1,9.3999996,143,9.3999996,143,0,.2047635,.72704595,10.619399,.070493139,.36990309,10.007352,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,Nonprofit
b,1,4,4,8,0,0,0,0,316,6,1,1,1,0,Allison,f,w,1,0,0,c,a,387,.99204272,.0048142881,8.8417377,.29509342,.053181671,8.5073452,1,some,,1,9.3999996,143,9.3999996,143,0,.2047635,.72704595,10.619399,.070493139,.36990309,10.007352,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,Nonprofit
b,1,4,4,4,0,0,0,1,27,1,0,0,1,1,Aisha,f,b,0,1,0,c,a,388,.94529068,.048330311,9.8924265,.25186488,.055981595,8.9340601,1,,,1,18.4,55,,,0,.0040302519,.92648524,11.12976,.049830828,.39476565,10.518701,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,Private
b,1,4,2,4,0,0,0,0,21,1,1,0,1,0,Carrie,f,w,0,1,0,c,a,388,.98949564,.0048631253,9.4743185,.25740963,.04815378,8.6976795,1,,,1,18.4,55,,,0,.0040302519,.92648524,11.12976,.049830828,.39476565,10.518701,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,Private
b,1,4,2,5,0,1,0,0,263,4,0,1,0,1,Aisha,f,b,1,0,0,c,s,389,.97707725,.014099709,10.032057,.23124893,.054754153,8.8793335,1,,,1,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
